charge,smiles,b,s,o,n,homo,lumo,gap,sheafHOMO,sheafLUMO,sheafGAP,electrons
0,[H]c1c([H])c([H])c2c([H])c3c(bc2c1[H])c1c([H])c2c([H])c4bc([H])c5c([H])c([H])c([H])c([H])c5c4c([H])c2c([H])c1c1c([H])c([H])c([H])c([H])c31,2,0,0,0,-6.3539,-1.0837,5.2702,1.8519,1.9492,0.09729999999999994,32.0
0,[H]B1C([H])=C([H])c2c1c1c([H])c([H])c([H])c([H])c1c1bc([H])c3c([H])c([H])c([H])c([H])c3c21,2,0,0,0,-6.6471,-1.8818,4.7653,1.9189,2.0479,0.12899999999999978,19.0
0,[H]c1bc2c([H])c3c([H])c4c([H])c([H])c5c([H])c6c([H])c([H])c([H])c([H])c6c([H])c5c4c([H])c3c([H])c2bc1[H],2,0,0,0,-5.7828,-1.11,4.6728,1.7994,1.8118,0.012399999999999967,24.0
0,[H]c1c([H])c([H])c2c([H])c3bc4c([H])c5c(c([H])c([H])c6c([H])c7c([H])c([H])c8c([H])c([H])c9c%10c([H])c([H])c([H])c([H])c%10c([H])c([H])c9c8c7c([H])c65)c([H])c4bc3bc2c1[H],3,0,0,0,-5.0956,-1.2217,3.8739,1.8774,1.943,0.0656000000000001,39.0
0,[H]B1c2bc3c(bc2-c2c([H])c4c(c([H])c21)-c1c([H])c([H])c([H])c([H])c1-4)=C([H])C=3[H],3,0,0,0,-6.3539,-2.0567,4.2972,1.7091,2.2683,0.5591999999999999,18.0
0,[H]B1C([H])=C([H])c2c1c1c([H])c([H])c([H])c([H])c1c1bc3c(c([H])c21)=C([H])C=3[H],2,0,0,0,-6.6455,-1.8293,4.8162,1.9675,2.3383,0.3707999999999998,17.0
0,[H]B1c2bc([H])c([H])bc2B([H])c2c1c([H])c1bc3c(bc1c2[H])c1c([H])c2c(c([H])c1c1c([H])c([H])c([H])c([H])c31)B([H])C([H])=C2[H],7,0,0,0,-5.8662,-1.7903,4.0759,1.4676,1.7225,0.2548999999999999,26.0
0,[H]B1C([H])=C([H])c2c1c1c([H])c([H])c([H])c([H])c1c1bc3c([H])c4c(c([H])c([H])c5c6c([H])c([H])c([H])c([H])c6c([H])c([H])c45)c([H])c3bc21,3,0,0,0,-5.5851,-1.7908,3.7943,1.8209,1.9585,0.13759999999999994,30.0
0,[H]B1c2c([H])c([H])c3c([H])c([H])c([H])c([H])c3c2-c2c1c1c([H])c([H])c3bc([H])c([H])c([H])c3c1c1c([H])c3bc([H])c([H])bc3c([H])c21,4,0,0,0,-5.8863,-1.8414,4.0449,1.776,2.1008,0.3248,29.0
0,[H]B1c2bc([H])c([H])bc2B([H])c2c1c([H])c1c([H])c([H])c3c([H])c4c(c([H])c([H])c5c([H])c([H])c6c7c([H])c([H])c([H])c([H])c7c([H])c([H])c6c54)c([H])c3c1c2[H],4,0,0,0,-6.7484,-1.6974,5.051,1.7247,1.8661,0.1414000000000002,34.0
0,[H]B1c2c([H])c([H])c([H])c([H])c2-c2c1c([H])c1c(c2[H])c2c([H])c([H])c([H])bc2c2c([H])c([H])c3c4c([H])bc([H])c([H])c4bc([H])c3c21,4,0,0,0,-6.3113,-1.3294,4.9819,1.8316,2.0136,0.18199999999999994,29.0
0,[H]B1C([H])=C([H])B([H])c2bc3c(bc21)c1c([H])c([H])c([H])c([H])c1c1c2c([H])c4c([H])c([H])c([H])c([H])c4c([H])c2c2c(c31)B([H])C([H])=C2[H],5,0,0,0,-6.4246,-2.7394,3.6852,1.5867,1.7337,0.14700000000000002,28.0
0,[H]c1bc2c3bc([H])c([H])c([H])c3c3c([H])c4c([H])c5c6c([H])c([H])c([H])c([H])c6c6c([H])c([H])c([H])c([H])c6c5c([H])c4c([H])c3c2bc1[H],3,0,0,0,-6.2694,-1.0746,5.1948,1.8421,2.0,0.15789999999999993,31.0
0,[H]c1bc2c(c([H])c1[H])c1bc3bc4bc5c([H])c6c7c([H])c([H])c([H])c([H])c7c6c([H])c5bc4bc3c([H])c21,6,0,0,0,-5.1629,-1.4267,3.7361999999999993,1.4495,1.7909,0.3413999999999999,24.0
0,[H]B1C([H])=C([H])B([H])c2c1c([H])c1c([H])c3c4c(c5c(c([H])c([H])c6c([H])c([H])c7c([H])c([H])c([H])c([H])c7c65)c3c([H])c1c2[H])=c1c([H])c2bc([H])c([H])bc2c([H])c1=4,4,0,0,0,-6.1653,-1.921,4.2443,1.7121,1.8915,0.1794,36.0
