smiles,HOMO_eV,LUMO_eV,GAP_eV,sheafHOMO,sheafLUMO,sheafGAP,electrons
c1ccc2cc3cc4c(ccc5c6ccccc6ccc45)cc3cc2c1,-6.348,-1.381,4.967,1.8665,2.4252,0.5586999999999998,26.0
c1ccc2cc3cc4c5ccccc5c5ccccc5c4cc3cc2c1,-6.506,-1.259,5.246,1.83,2.5403,0.7102999999999997,26.0
c1ccc2c(c1)ccc1cc3cc4c(ccc5ccccc54)cc3cc12,-6.526,-1.21,5.316,1.8588,2.5236,0.6648000000000001,26.0
c1ccc2c(c1)ccc1cc3cc4ccc5ccccc5c4cc3cc12,-6.531,-1.21,5.322,1.8582,2.5282,0.6699999999999999,26.0
c1ccc2cc3cc4cc5c(ccc6ccccc65)cc4cc3cc2c1,-6.1,-1.649,4.45,1.8409,2.3662,0.5253000000000001,26.0
c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,-5.772,-1.985,3.787,1.8762,2.2411,0.3648999999999998,26.0
c1ccc2c(c1)ccc1c3ccc4ccccc4c3c3ccccc3c21,-6.938,-0.761,6.177,1.939,2.7303,0.7913000000000001,26.0
c1ccc2c(c1)ccc1c3ccccc3c3ccc4ccccc4c3c21,-6.898,-0.662,6.236,1.9451,2.6698,0.7246999999999999,26.0
c1ccc2c(c1)ccc1c2ccc2ccc3ccc4ccccc4c3c21,-6.981,-0.685,6.296,1.8586,2.6784,0.8197999999999999,26.0
c1ccc2c(c1)ccc1c2ccc2ccc3c4ccccc4ccc3c21,-6.939,-0.703,6.236,1.8587,2.6571,0.7983999999999998,26.0
c1ccc2c(c1)ccc1ccc3c(ccc4ccc5ccccc5c43)c12,-6.93,-0.753,6.177,1.8588,2.7251,0.8662999999999998,26.0
c1ccc2c(c1)ccc1c2ccc2c1ccc1ccc3ccccc3c12,-6.97,-0.677,6.293,1.8582,2.6807,0.8224999999999998,26.0
c1ccc2c(c1)ccc1ccc3ccc4c5ccccc5c5ccccc5c4c3c12,-6.914,-0.779,6.135,1.9402,2.7685,0.8283,30.0
c1ccc2c(c1)ccc1c2ccc2ccc3ccc4ccc5ccccc5c4c3c21,-6.921,-0.736,6.184,1.8701,2.6846,0.8145,30.0
c1ccc2cc3cc4c(ccc5cc6cc7ccccc7cc6cc54)cc3cc2c1,-6.488,-1.283,5.205,1.8396,2.4291,0.5895000000000001,30.0
c1ccc2cc3cc4c(ccc5cc6c(ccc7ccccc76)cc54)cc3cc2c1,-6.435,-1.308,5.127,1.8932,2.4527,0.5595000000000001,30.0
c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1cc2ccccc2cc14,-6.537,-1.258,5.279,1.8583,2.5389,0.6805999999999999,30.0
c1ccc2cc3c(ccc4cc5cc6c(ccc7ccccc76)cc5cc43)cc2c1,-6.568,-1.176,5.392,1.8929,2.5125,0.6196000000000002,30.0
c1ccc2cc3c(ccc4cc5cc6ccc7ccccc7c6cc5cc43)cc2c1,-6.58,-1.176,5.404,1.8926,2.5208,0.6281999999999999,30.0
c1ccc2c(c1)ccc1cc3cc4c(ccc5c6ccccc6ccc45)cc3cc12,-6.438,-1.301,5.137,1.873,2.5021,0.6291,30.0
c1ccc2c(c1)ccc1cc3cc4ccc5c6ccccc6ccc5c4cc3cc12,-6.441,-1.301,5.14,1.8718,2.505,0.6332,30.0
c1ccc2cc3cc4c(ccc5c6ccccc6c6ccccc6c45)cc3cc2c1,-6.275,-1.423,4.852,1.9549,2.4329,0.478,30.0
c1ccc2cc3cc4c(ccc5c4ccc4c6ccccc6ccc45)cc3cc2c1,-6.379,-1.376,5.002,1.8743,2.4425,0.5681999999999998,30.0
c1ccc2cc3cc4c(ccc5c6cc7ccccc7cc6ccc45)cc3cc2c1,-6.265,-1.472,4.792,1.9054,2.3991,0.4936999999999998,30.0
c1ccc2c(c1)ccc1c2ccc2ccc3ccc4c5ccccc5ccc4c3c21,-6.976,-0.735,6.241,1.8668,2.691,0.8241999999999998,30.0
c1ccc2cc3cc4c(ccc5c4ccc4ccc6ccccc6c45)cc3cc2c1,-6.349,-1.371,4.978,1.8744,2.4464,0.5720000000000001,30.0
c1ccc2c(c1)ccc1cc3cc4c5ccccc5c5ccccc5c4cc3cc12,-6.605,-1.177,5.427,1.9293,2.6187,0.6894,30.0
c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1ccc2ccccc2c14,-6.402,-1.301,5.101,1.9344,2.5186,0.5842000000000003,30.0
c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1c2ccccc2ccc41,-6.433,-1.307,5.126,1.9342,2.5388,0.6046000000000002,30.0
c1ccc2c(c1)ccc1cc3cc4c(ccc5ccc6ccccc6c54)cc3cc12,-6.417,-1.316,5.101,1.8715,2.525,0.6535,30.0
c1ccc2c(c1)ccc1cc3cc4ccc5ccc6ccccc6c5c4cc3cc12,-6.416,-1.315,5.101,1.8747,2.5252,0.6504999999999999,30.0
c1ccc2cc3cc4cc5c(ccc6ccc7ccccc7c65)cc4cc3cc2c1,-6.034,-1.706,4.327,1.8955,2.3612,0.4657000000000002,30.0
